@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
4.366263,1.085431,0.268134,0.137701,0.437978,0.190882,0.284244,0.512174,0.235516,0.227589,0.052078,0.087786,0.121805,0.121229,0.049128,0.082583,0.10374,0.094971,0.023936,0.06565,0.028465,0.070365,0.075017,0.013067,0.030127,0.074303,0.027561,0.004489,0.052489,0.046201,0.035927,0.014024,0.025153,0.014024,0.035927,0.046201,0.052489,0.004489,0.027561,0.074303,0.030127,0.013067,0.075017,0.070365,0.028465,0.06565,0.023936,0.094971,0.10374,0.082583,0.049128,0.121229,0.121805,0.087786,0.052078,0.227589,0.235516,0.512174,0.284244,0.190882,0.437978,0.137701,0.268134,1.085431,0.130914,standing
5.687886,0.888588,0.082699,0.634691,0.164171,0.685294,0.955372,0.596797,0.170292,0.059549,0.178455,0.101964,0.089357,0.202827,0.061034,0.118679,0.056499,0.075712,0.081852,0.087165,0.076689,0.02773,0.065967,0.05835,0.049858,0.077915,0.043751,0.060759,0.016682,0.045239,0.013945,0.016054,0.009745,0.016054,0.013945,0.045239,0.016682,0.060759,0.043751,0.077915,0.049858,0.05835,0.065967,0.02773,0.076689,0.087165,0.081852,0.075712,0.056499,0.118679,0.061034,0.202827,0.089357,0.101964,0.178455,0.059549,0.170292,0.596797,0.955372,0.685294,0.164171,0.634691,0.082699,0.888588,0.169219,standing
3.769074,0.226703,0.315787,0.122622,0.161815,0.071544,0.505517,0.25186,0.212285,0.129407,0.029449,0.114077,0.077557,0.037603,0.101588,0.03253,0.072808,0.035015,0.036954,0.045987,0.022568,0.03514,0.047051,0.028479,0.038835,0.0225,0.038204,0.066979,0.029861,0.042547,0.086255,0.040966,0.079021,0.040966,0.086255,0.042547,0.029861,0.066979,0.038204,0.0225,0.038835,0.028479,0.047051,0.03514,0.022568,0.045987,0.036954,0.035015,0.072808,0.03253,0.101588,0.037603,0.077557,0.114077,0.029449,0.129407,0.212285,0.25186,0.505517,0.071544,0.161815,0.122622,0.315787,0.226703,0.093421,standing
4.424923,1.580894,0.675383,0.115175,0.548321,0.436197,0.516164,0.705424,0.564937,0.288942,0.228105,0.286404,0.071691,0.284071,0.326928,0.233383,0.093047,0.22087,0.14459,0.013693,0.170599,0.12363,0.042469,0.063811,0.030728,0.016513,0.070865,0.062477,0.043551,0.069133,0.032775,0.073405,0.017824,0.073405,0.032775,0.069133,0.043551,0.062477,0.070865,0.016513,0.030728,0.063811,0.042469,0.12363,0.170599,0.013693,0.14459,0.22087,0.093047,0.233383,0.326928,0.284071,0.071691,0.286404,0.228105,0.288942,0.564937,0.705424,0.516164,0.436197,0.548321,0.115175,0.675383,1.580894,0.193787,standing
7.030708,1.607137,0.235203,0.431553,0.421295,0.779122,0.772612,0.549039,1.114014,0.419329,0.123861,0.063778,0.121009,0.061877,0.214377,0.274768,0.108741,0.084003,0.021162,0.077695,0.034447,0.058354,0.062492,0.066618,0.078101,0.11138,0.066151,0.034747,0.079057,0.093074,0.058635,0.109373,0.008406,0.109373,0.058635,0.093074,0.079057,0.034747,0.066151,0.11138,0.078101,0.066618,0.062492,0.058354,0.034447,0.077695,0.021162,0.084003,0.108741,0.274768,0.214377,0.061877,0.121009,0.063778,0.123861,0.419329,1.114014,0.549039,0.772612,0.779122,0.421295,0.431553,0.235203,1.607137,0.233811,standing
7.997396,1.857,0.064799,0.657506,0.892581,0.669501,1.83798,1.345096,0.265626,0.129598,0.41602,0.185004,0.172011,0.108034,0.175132,0.045907,0.048839,0.045576,0.158764,0.107284,0.045682,0.112514,0.096845,0.063009,0.027688,0.010192,0.08508,0.048595,0.072225,0.051516,0.058249,0.024404,0.0886,0.024404,0.058249,0.051516,0.072225,0.048595,0.08508,0.010192,0.027688,0.063009,0.096845,0.112514,0.045682,0.107284,0.158764,0.045576,0.048839,0.045907,0.175132,0.108034,0.172011,0.185004,0.41602,0.129598,0.265626,1.345096,1.83798,0.669501,0.892581,0.657506,0.064799,1.857,0.298985,standing
5.52743,1.493185,0.400859,0.567481,0.124432,0.21461,0.942331,0.987957,0.272278,0.243507,0.113484,0.068029,0.131357,0.165252,0.070361,0.102971,0.035925,0.012085,0.027429,0.061136,0.10938,0.063549,0.040856,0.1042,0.079275,0.060213,0.112572,0.037005,0.016001,0.03914,0.02497,0.009516,0.00422,0.009516,0.02497,0.03914,0.016001,0.037005,0.112572,0.060213,0.079275,0.1042,0.040856,0.063549,0.10938,0.061136,0.027429,0.012085,0.035925,0.102971,0.070361,0.165252,0.131357,0.068029,0.113484,0.243507,0.272278,0.987957,0.942331,0.21461,0.124432,0.567481,0.400859,1.493185,0.195289,standing
3.510174,0.95676,0.315533,0.103271,0.361264,0.265673,0.367115,0.440415,0.531473,0.187947,0.070599,0.088794,0.194614,0.03596,0.026784,0.109311,0.104204,0.103033,0.048723,0.086373,0.097352,0.044587,0.014406,0.013189,0.054832,0.056599,0.007358,0.027741,0.027072,0.088568,0.075223,0.047818,0.02039,0.047818,0.075223,0.088568,0.027072,0.027741,0.007358,0.056599,0.054832,0.013189,0.014406,0.044587,0.097352,0.086373,0.048723,0.103033,0.104204,0.109311,0.026784,0.03596,0.194614,0.088794,0.070599,0.187947,0.531473,0.440415,0.367115,0.265673,0.361264,0.103271,0.315533,0.95676,0.135294,standing
5.230166,0.751567,0.255381,0.227878,0.438525,0.596563,0.32566,0.731581,0.498825,0.344385,0.18456,0.170078,0.217462,0.088234,0.243553,0.118607,0.045564,0.124457,0.129381,0.018421,0.027665,0.055162,0.103813,0.04801,0.049124,0.055947,0.03844,0.049879,0.020253,0.009655,0.027377,0.042057,0.054307,0.042057,0.027377,0.009655,0.020253,0.049879,0.03844,0.055947,0.049124,0.04801,0.103813,0.055162,0.027665,0.018421,0.129381,0.124457,0.045564,0.118607,0.243553,0.088234,0.217462,0.170078,0.18456,0.344385,0.498825,0.731581,0.32566,0.596563,0.438525,0.227878,0.255381,0.751567,0.173533,standing
3.938867,0.289112,0.234282,0.523357,0.172909,0.629465,0.610852,0.311169,0.283607,0.30307,0.12001,0.134222,0.062499,0.164949,0.023951,0.034096,0.091035,0.032408,0.063074,0.044443,0.09551,0.051655,0.056604,0.031317,0.049811,0.036564,0.031033,0.01995,0.019421,0.063427,0.02214,0.031079,0.018406,0.031079,0.02214,0.063427,0.019421,0.01995,0.031033,0.036564,0.049811,0.031317,0.056604,0.051655,0.09551,0.044443,0.063074,0.032408,0.091035,0.034096,0.023951,0.164949,0.062499,0.134222,0.12001,0.30307,0.283607,0.311169,0.610852,0.629465,0.172909,0.523357,0.234282,0.289112,0.109478,standing
